train_auc,train_acc,train_precision,train_recall,train_F1,eval_auc,eval_acc,eval_precision,eval_recall,eval_F1,test_auc,test_acc,test_precision,test_recall,test_F1
0.5006788733261214,0.5006496656208719,0.5006951085789174,0.5020291258414212,0.5010823038365199,0.4981195800303459,0.4983961402563181,0.49759026636314074,0.4999003324795932,0.49842458531821865,0.49827153598139656,0.4979752908282429,0.49903219196947746,0.4987837493871917,0.49855473996375477
0.8745519082529699,0.7902315369055481,0.8100785056490888,0.7584143964746858,0.7832158408924418,0.8458708915350194,0.7659059561773864,0.7802524685548572,0.739197282368552,0.7589266081135126,0.8453897685594307,0.765489317582944,0.7810409101776061,0.7388684017537287,0.7591876598039287
0.9092709422755784,0.8259482331571995,0.8337677211094191,0.8142094319873755,0.8237335914922383,0.8664146698085142,0.7877845119924541,0.7923985100889839,0.779006219621908,0.7854823137668914,0.8663006941610337,0.7882434928584261,0.7943561184165137,0.7788761493028127,0.7863818583511678
0.9191258225231769,0.8363704900099076,0.84735842038035,0.8206624299550707,0.8336456291724773,0.8640160735150524,0.7912738894628099,0.8011290800818842,0.7741707470444924,0.7872092238161833,0.8641611410511941,0.7908452032054737,0.8022654528630047,0.7729332199083612,0.7871664769009687
0.9307983373032662,0.8499656332562748,0.8612068793504042,0.8342868938394619,0.8474019442230367,0.8693585718281657,0.7984879832165529,0.805769330219015,0.7858117079385747,0.7954809925250095,0.8693827281676706,0.7987309249236435,0.8068571093308847,0.7864279823940947,0.7963552932779016
0.9404928032529766,0.863724818361955,0.860596633261926,0.8680082250667128,0.8641743185446711,0.867000740613216,0.7968704382635645,0.7913916672816409,0.80541006310908,0.7981382469958815,0.8681308421953198,0.7979051336612168,0.7933165324073479,0.8068476463601539,0.7998195199123732
0.9477440695019718,0.8743783541116248,0.870552930240192,0.8795535754009913,0.874914739003989,0.8638072124189476,0.7972450854892802,0.7914157298974409,0.8064876430871727,0.7986911153426927,0.8642394823401076,0.7973606494789794,0.7927854905667483,0.806370484415236,0.7993027772217087
0.9514136086108302,0.8800794150429326,0.8812031370342437,0.8786284644310741,0.879797892985023,0.8643546115834194,0.7983836481165408,0.7978569745504943,0.798494292807961,0.7979738661630524,0.8644498993388031,0.7985303254880823,0.7990627774432698,0.7985751799871371,0.7986702204539405
0.9595605053190815,0.8928236975726552,0.8770693241205848,0.9136737957173086,0.8949061330267775,0.8557525158587032,0.7891890589441849,0.7745888186485218,0.8148094228726056,0.7939773045590709,0.8555234569478116,0.7904590931548688,0.776632584995617,0.8165990110937331,0.795947614944887
0.9608856650345162,0.8951479421235139,0.8862496007014229,0.9067298080811335,0.8962752885486961,0.853922327463925,0.7875909306129476,0.7779190373683709,0.8041523151566675,0.7905592359697748,0.8543569298590785,0.7893745695592286,0.7809409824524647,0.8054978108430704,0.7928535215761665
